-- Total Memory Allocated --
Total: 19212
-- allocMBList (2397) --
address=0x237d212, size=10, name=Waverley
address=0x237d20d, size=5, name=Wat
address=0x237d201, size=12, name=Washington
address=0x237d1fb, size=6, name=Wash
address=0x237d1f3, size=8, name=Warren
address=0x237d1eb, size=8, name=Warner
address=0x237d1e3, size=8, name=Waring
address=0x237d1dd, size=6, name=Ware
address=0x237d1d5, size=8, name=Warden
address=0x237d1ce, size=7, name=Warde
address=0x237d1c8, size=6, name=Ward
address=0x237d1c2, size=6, name=Wang
address=0x237d1ba, size=8, name=Walton
address=0x237d1b1, size=9, name=Walther
address=0x237d1ab, size=6, name=Walt
address=0x237d1a4, size=7, name=Walsh
address=0x237d19d, size=7, name=Wally
address=0x237d195, size=8, name=Wallis
address=0x237d18d, size=8, name=Wallie
address=0x237d185, size=8, name=Wallas
address=0x237d17b, size=10, name=Wallache
address=0x237d172, size=9, name=Wallace
address=0x237d16a, size=8, name=Walker
address=0x237d162, size=8, name=Waldon
address=0x237d15b, size=7, name=Waldo
address=0x237d153, size=8, name=Walden
address=0x237d149, size=10, name=Waldemar
address=0x237d143, size=6, name=Wald
address=0x237d138, size=11, name=Wakefield
address=0x237d132, size=6, name=Wake
address=0x237d12a, size=8, name=Waiter
address=0x237d123, size=7, name=Waite
address=0x237d11d, size=6, name=Wait
address=0x237d111, size=12, name=Wainwright
address=0x237d10b, size=6, name=Wain
address=0x237d100, size=11, name=Wadsworth
address=0x237d0fa, size=6, name=Wade
address=0x237d0f5, size=5, name=Von
address=0x237d0eb, size=10, name=Vladimir
address=0x237d0e1, size=10, name=Vladamir
address=0x237d0db, size=6, name=Vlad
address=0x237d0d1, size=10, name=Vittorio
address=0x237d0cb, size=6, name=Vito
address=0x237d0c5, size=6, name=Vite
address=0x237d0bb, size=10, name=Virgilio
address=0x237d0b3, size=8, name=Virgil
address=0x237d0ab, size=8, name=Virgie
address=0x237d0a4, size=7, name=Virge
address=0x237d09c, size=8, name=Vinson
address=0x237d095, size=7, name=Vinny
address=0x237d08d, size=8, name=Vinnie
address=0x237d084, size=9, name=Vincenz
address=0x237d07a, size=10, name=Vincenty
address=0x237d070, size=10, name=Vincents
address=0x237d067, size=9, name=Vincent
address=0x237d060, size=7, name=Vince
address=0x237d05b, size=5, name=Vin
address=0x237d052, size=9, name=Vidovik
address=0x237d049, size=9, name=Vidovic
address=0x237d041, size=8, name=Victor
address=0x237d038, size=9, name=Victoir
address=0x237d032, size=6, name=Vick
address=0x237d02d, size=5, name=Vic
address=0x237d025, size=8, name=Vernor
address=0x237d01d, size=8, name=Vernon
address=0x237d015, size=8, name=Verney
address=0x237d00d, size=8, name=Vernen
address=0x237d006, size=7, name=Verne
address=0x237d000, size=6, name=Vern
address=0x235b921, size=8, name=Vergil
address=0x235b91a, size=7, name=Verge
address=0x235b912, size=8, name=Vaughn
address=0x235b909, size=9, name=Vaughan
address=0x235b900, size=9, name=Vassily
address=0x235b8f7, size=9, name=Vassili
address=0x235b8ef, size=8, name=Vasily
address=0x235b8e6, size=9, name=Vasilis
address=0x235b8de, size=8, name=Vasili
address=0x235b8d7, size=7, name=Vanya
address=0x235b8d0, size=7, name=Vance
address=0x235b8cb, size=5, name=Van
address=0x235b8c4, size=7, name=Valle
address=0x235b8b9, size=11, name=Valentino
address=0x235b8ae, size=11, name=Valentine
address=0x235b8a4, size=10, name=Valentin
address=0x235b899, size=11, name=Valentijn
address=0x235b893, size=6, name=Vale
address=0x235b889, size=10, name=Valdemar
address=0x235b884, size=5, name=Val
address=0x235b87e, size=6, name=Vail
address=0x235b876, size=8, name=Vaclav
address=0x235b86e, size=8, name=Vachel
address=0x235b867, size=7, name=Urson
address=0x235b860, size=7, name=Uriel
address=0x235b859, size=7, name=Uriah
address=0x235b854, size=5, name=Uri
address=0x235b84b, size=9, name=Urbanus
address=0x235b843, size=8, name=Urbano
address=0x235b83c, size=7, name=Urban
address=0x235b834, size=8, name=Urbain
address=0x235b82d, size=7, name=Upton
address=0x235b824, size=9, name=Umberto
address=0x235b81b, size=9, name=Ulysses
address=0x235b813, size=8, name=Ulrick
address=0x235b80b, size=8, name=Ulrich
address=0x235b804, size=7, name=Ulric
address=0x235b7fc, size=8, name=Ulises
address=0x235b7f5, size=7, name=Ulick
address=0x235b7ec, size=9, name=Ulberto
address=0x235b7e7, size=5, name=Ugo
address=0x235b7e0, size=7, name=Udell
address=0x235b7d9, size=7, name=Udall
address=0x235b7d2, size=7, name=Udale
address=0x235b7cb, size=7, name=Tyson
address=0x235b7c4, size=7, name=Tyrus
address=0x235b7bc, size=8, name=Tyrone
address=0x235b7b5, size=7, name=Tynan
address=0x235b7ac, size=9, name=Tymothy
address=0x235b7a5, size=7, name=Tymon
address=0x235b79e, size=7, name=Tyler
address=0x235b799, size=5, name=Tye
address=0x235b791, size=8, name=Tybalt
address=0x2336ca9, size=4, name=Ty
address=0x235b789, size=8, name=Turner
address=0x235b782, size=7, name=Tully
address=0x235b77a, size=8, name=Tulley
address=0x235b774, size=6, name=Tull
address=0x235b76d, size=7, name=Tudor
address=0x235b766, size=7, name=Tucky
address=0x235b75e, size=8, name=Tuckie
address=0x235b756, size=8, name=Tucker
address=0x235b750, size=6, name=Tuck
address=0x235b747, size=9, name=Trumann
address=0x235b73f, size=8, name=Truman
