-- Total Memory Allocated --
Total: 24378
-- allocMBList (2945) --
address=0x1b4891d, size=7, name=Vinny
address=0x1b48915, size=8, name=Vinnie
address=0x1b4890e, size=7, name=Vinni
address=0x1b48906, size=8, name=Vinita
address=0x1b48900, size=6, name=Vina
address=0x1b00ae8, size=5, name=Vin
address=0x1b488f9, size=7, name=Vilma
address=0x1b488ed, size=12, name=Vilhelmina
address=0x1b488e6, size=7, name=Vikky
address=0x1b488df, size=7, name=Vikki
address=0x1b488d9, size=6, name=Viki
address=0x1b488d3, size=6, name=Vida
address=0x1b488c9, size=10, name=Victoria
address=0x1b488c2, size=7, name=Vicky
address=0x1b488ba, size=8, name=Vickie
address=0x1b488b3, size=7, name=Vicki
address=0x1b24319, size=4, name=Vi
address=0x1b488ac, size=7, name=Vevay
address=0x1b488a1, size=11, name=Veronique
address=0x1b48897, size=10, name=Veronike
address=0x1b4888d, size=10, name=Veronika
address=0x1b48883, size=10, name=Veronica
address=0x1b4887a, size=9, name=Vernice
address=0x1b48873, size=7, name=Verna
address=0x1b4886c, size=7, name=Verla
address=0x1b48864, size=8, name=Verine
address=0x1b4885c, size=8, name=Verina
address=0x1b48854, size=8, name=Verile
address=0x1b4884c, size=8, name=Veriee
address=0x1b48844, size=8, name=Verene
address=0x1b4883c, size=8, name=Verena
address=0x1b48836, size=6, name=Vere
address=0x1b4882d, size=9, name=Veradis
address=0x1b48827, size=6, name=Vera
address=0x1b48820, size=7, name=Venus
address=0x1b48818, size=8, name=Venita
address=0x1b48810, size=8, name=Velvet
address=0x1b48809, size=7, name=Velma
address=0x1b48803, size=6, name=Veda
address=0x1b487fc, size=7, name=Vanya
address=0x1b487f5, size=7, name=Vanny
address=0x1b487ed, size=8, name=Vannie
address=0x1b487e6, size=7, name=Vanni
address=0x1b487df, size=7, name=Vanna
address=0x1b487d8, size=7, name=Vania
address=0x1b487cf, size=9, name=Vanessa
address=0x1b487c8, size=7, name=Vanda
address=0x1b01e26, size=5, name=Van
address=0x1b487c1, size=7, name=Valry
address=0x1b487ba, size=7, name=Valma
address=0x1b487b3, size=7, name=Vally
address=0x1b487ab, size=8, name=Vallie
address=0x1b487a4, size=7, name=Valli
address=0x1b4879c, size=8, name=Valina
address=0x1b48794, size=8, name=Valida
address=0x1b4878b, size=9, name=Valerye
address=0x1b48783, size=8, name=Valery
address=0x1b4877a, size=9, name=Valerie
address=0x1b48771, size=9, name=Valeria
address=0x1b48769, size=8, name=Valera
address=0x1b4875e, size=11, name=Valentine
address=0x1b48753, size=11, name=Valentina
address=0x1b48749, size=10, name=Valentia
address=0x1b48740, size=9, name=Valenka
address=0x1b48738, size=8, name=Valene
address=0x1b4872e, size=10, name=Valencia
address=0x1b48726, size=8, name=Valeda
address=0x1b48720, size=6, name=Vale
address=0x1b48717, size=9, name=Valaria
address=0x1b4870e, size=9, name=Valaree
address=0x1b24fe2, size=5, name=Val
address=0x1b00492, size=5, name=Uta
address=0x1b48704, size=10, name=Ursuline
address=0x1b486fa, size=10, name=Ursulina
address=0x1b486f2, size=8, name=Ursula
address=0x1b486ea, size=8, name=Ursola
address=0x1b486e2, size=8, name=Ursala
address=0x1b486dc, size=6, name=Ursa
address=0x1b24459, size=5, name=Una
address=0x1b486d5, size=7, name=Umeko
address=0x1b486cd, size=8, name=Ulrike
address=0x1b486c0, size=13, name=Ulrikaumeko
address=0x1b486b8, size=8, name=Ulrika
address=0x1b486b0, size=8, name=Ulrica
address=0x1b486aa, size=6, name=Ulla
address=0x1b243c7, size=5, name=Ula
address=0x1b486a4, size=6, name=Tyne
address=0x1b4869d, size=7, name=Tybie
address=0x1b48697, size=6, name=Tybi
address=0x1b48690, size=7, name=Twyla
address=0x1b48689, size=7, name=Twila
address=0x1b48680, size=9, name=Tuesday
address=0x1b48679, size=7, name=Trula
address=0x1b48672, size=7, name=Trudy
address=0x1b4866a, size=8, name=Trudie
address=0x1b48663, size=7, name=Trudi
address=0x1b4865b, size=8, name=Trudey
address=0x1b48654, size=7, name=Trude
address=0x1b4864d, size=7, name=Truda
address=0x1b48646, size=7, name=Trixy
address=0x1b4863e, size=8, name=Trixie
address=0x1b48637, size=7, name=Trixi
address=0x1b48631, size=6, name=Trix
address=0x1b48629, size=8, name=Trista
address=0x1b48621, size=8, name=Trisha
address=0x1b4861a, size=7, name=Trish
address=0x1b48613, size=7, name=Trina
address=0x1b4860b, size=8, name=Tricia
address=0x1b48603, size=8, name=Tressa
address=0x1b485fa, size=9, name=Trescha
address=0x1b485f3, size=7, name=Tresa
address=0x1b485eb, size=8, name=Trenna
address=0x1b485e4, size=7, name=Tracy
address=0x1b485dc, size=8, name=Tracie
address=0x1b485d5, size=7, name=Traci
address=0x1b485cd, size=8, name=Tracey
address=0x1b485c5, size=8, name=Tracee
address=0x1b485bf, size=6, name=Tove
address=0x1b485b9, size=6, name=Tova
address=0x1b485b3, size=6, name=Tory
address=0x1b485ab, size=8, name=Torrie
address=0x1b485a4, size=7, name=Torie
address=0x1b4859e, size=6, name=Tori
address=0x1b48597, size=7, name=Torey
address=0x1b4858e, size=9, name=Tootsie
address=0x1b48587, size=7, name=Tonye
address=0x1b48580, size=7, name=Tonya
address=0x1b4857a, size=6, name=Tony
address=0x1b48573, size=7, name=Tonie
address=0x1b4856c, size=7, name=Tonia
address=0x1b48566, size=6, name=Toni
address=0x1b4855f, size=7, name=Tommy
address=0x1b48557, size=8, name=Tommie
address=0x1b48550, size=7, name=Tommi
address=0x1b4854a, size=6, name=Tomi
address=0x1b48540, size=10, name=Tomasine
address=0x1b48536, size=10, name=Tomasina
address=0x1b48530, size=6, name=Toma
address=0x1b48526, size=10, name=Toinette
address=0x1b4851f, size=7, name=Tobye
address=0x1b48519, size=6, name=Toby
address=0x1b48513, size=6, name=Tobi
address=0x1b4850c, size=7, name=Tobey
address=0x1b48506, size=6, name=Tobe
address=0x1b484ff, size=7, name=Tisha
address=0x1b484f9, size=6, name=Tish
address=0x1b484f0, size=9, name=Tiphany
address=0x1b484e6, size=10, name=Tiphanie
address=0x1b484dd, size=9, name=Tiphani
address=0x1b484d7, size=6, name=Tine
address=0x1b484d1, size=6, name=Tina
address=0x1b484c7, size=10, name=Timothea
address=0x1b484c0, size=7, name=Timmy
address=0x1b484b8, size=8, name=Timmie
address=0x1b484b1, size=7, name=Timmi
address=0x1b484ab, size=6, name=Timi
address=0x1b02227, size=5, name=Tim
address=0x1b484a4, size=7, name=Tilly
address=0x1b4849c, size=8, name=Tillie
address=0x1b48495, size=7, name=Tildy
address=0x1b4848d, size=8, name=Tildie
address=0x1b48486, size=7, name=Tildi
address=0x1b4847f, size=7, name=Tilda
address=0x1b48478, size=7, name=Tiffy
address=0x1b48470, size=8, name=Tiffie
address=0x1b48469, size=7, name=Tiffi
address=0x1b48460, size=9, name=Tiffany
