-- Total Memory Allocated --
Total: 24915
-- allocMBList (2945) --
address=0xe689c9, size=12, name=Vilhelmina
address=0xe689c2, size=7, name=Vikky
address=0xe689bb, size=7, name=Vikki
address=0xe203c4, size=6, name=Viki
address=0xe21359, size=6, name=Vida
address=0xe689b1, size=10, name=Victoria
address=0xe689aa, size=7, name=Vicky
address=0xe689a2, size=8, name=Vickie
address=0xe6899b, size=7, name=Vicki
address=0xe2032b, size=4, name=Vi
address=0xe68994, size=7, name=Vevay
address=0xe68989, size=11, name=Veronique
address=0xe6897f, size=10, name=Veronike
address=0xe68975, size=10, name=Veronika
address=0xe6896b, size=10, name=Veronica
address=0xe68962, size=9, name=Vernice
address=0xe6895b, size=7, name=Verna
address=0xe68954, size=7, name=Verla
address=0xe6894c, size=8, name=Verine
address=0xe68944, size=8, name=Verina
address=0xe6893c, size=8, name=Verile
address=0xe68934, size=8, name=Veriee
address=0xe6892c, size=8, name=Verene
address=0xe68924, size=8, name=Verena
address=0xe4565f, size=6, name=Vere
address=0xe6891b, size=9, name=Veradis
address=0xe20d96, size=6, name=Vera
address=0xe68914, size=7, name=Venus
address=0xe6890c, size=8, name=Venita
address=0xe68904, size=8, name=Velvet
address=0xe688fd, size=7, name=Velma
address=0xe67e27, size=6, name=Veda
address=0xe688f6, size=7, name=Vanya
address=0xe688ef, size=7, name=Vanny
address=0xe688e7, size=8, name=Vannie
address=0xe688e0, size=7, name=Vanni
address=0xe688d9, size=7, name=Vanna
address=0xe688d2, size=7, name=Vania
address=0xe688c9, size=9, name=Vanessa
address=0xe688c2, size=7, name=Vanda
address=0xe2284f, size=5, name=Van
address=0xe688bb, size=7, name=Valry
address=0xe688b4, size=7, name=Valma
address=0xe688ad, size=7, name=Vally
address=0xe688a5, size=8, name=Vallie
address=0xe6889e, size=7, name=Valli
address=0xe68896, size=8, name=Valina
address=0xe6888e, size=8, name=Valida
address=0xe68885, size=9, name=Valerye
address=0xe6887d, size=8, name=Valery
address=0xe68874, size=9, name=Valerie
address=0xe6886b, size=9, name=Valeria
address=0xe68863, size=8, name=Valera
address=0xe68858, size=11, name=Valentine
address=0xe6884d, size=11, name=Valentina
address=0xe68843, size=10, name=Valentia
address=0xe6883a, size=9, name=Valenka
address=0xe68832, size=8, name=Valene
address=0xe68828, size=10, name=Valencia
address=0xe68820, size=8, name=Valeda
address=0xe219d4, size=6, name=Vale
address=0xe68817, size=9, name=Valaria
address=0xe6880e, size=9, name=Valaree
address=0xe456e9, size=5, name=Val
address=0xe221cc, size=5, name=Uta
address=0xe68804, size=10, name=Ursuline
address=0xe687fa, size=10, name=Ursulina
address=0xe687f2, size=8, name=Ursula
address=0xe687ea, size=8, name=Ursola
address=0xe687e2, size=8, name=Ursala
address=0xe2114a, size=6, name=Ursa
address=0xe4402a, size=5, name=Una
address=0xe687db, size=7, name=Umeko
address=0xe687d3, size=8, name=Ulrike
address=0xe687c6, size=13, name=Ulrikaumeko
address=0xe687be, size=8, name=Ulrika
address=0xe687b6, size=8, name=Ulrica
address=0xe673b4, size=6, name=Ulla
address=0xe67eec, size=5, name=Ula
address=0xe45140, size=6, name=Tyne
address=0xe687af, size=7, name=Tybie
address=0xe22126, size=6, name=Tybi
address=0xe687a8, size=7, name=Twyla
address=0xe687a1, size=7, name=Twila
address=0xe68798, size=9, name=Tuesday
address=0xe68791, size=7, name=Trula
address=0xe6878a, size=7, name=Trudy
address=0xe68782, size=8, name=Trudie
address=0xe6877b, size=7, name=Trudi
address=0xe68773, size=8, name=Trudey
address=0xe6876c, size=7, name=Trude
address=0xe68765, size=7, name=Truda
address=0xe6875e, size=7, name=Trixy
address=0xe68756, size=8, name=Trixie
address=0xe6874f, size=7, name=Trixi
address=0xe209d6, size=6, name=Trix
address=0xe68747, size=8, name=Trista
address=0xe6873f, size=8, name=Trisha
address=0xe68738, size=7, name=Trish
address=0xe68731, size=7, name=Trina
address=0xe68729, size=8, name=Tricia
address=0xe68721, size=8, name=Tressa
address=0xe68718, size=9, name=Trescha
address=0xe68711, size=7, name=Tresa
address=0xe68709, size=8, name=Trenna
address=0xe68702, size=7, name=Tracy
address=0xe686fa, size=8, name=Tracie
address=0xe686f3, size=7, name=Traci
address=0xe686eb, size=8, name=Tracey
address=0xe686e3, size=8, name=Tracee
address=0xe20d38, size=6, name=Tove
address=0xe44f94, size=6, name=Tova
address=0xe214a3, size=6, name=Tory
address=0xe686db, size=8, name=Torrie
address=0xe686d4, size=7, name=Torie
address=0xe44218, size=6, name=Tori
address=0xe686cd, size=7, name=Torey
address=0xe686c4, size=9, name=Tootsie
address=0xe686bd, size=7, name=Tonye
address=0xe686b6, size=7, name=Tonya
address=0xe21e16, size=6, name=Tony
address=0xe686af, size=7, name=Tonie
address=0xe686a8, size=7, name=Tonia
address=0xe44529, size=6, name=Toni
address=0xe686a1, size=7, name=Tommy
address=0xe68699, size=8, name=Tommie
address=0xe68692, size=7, name=Tommi
address=0xe225e4, size=6, name=Tomi
address=0xe68688, size=10, name=Tomasine
address=0xe6867e, size=10, name=Tomasina
address=0xe217d3, size=6, name=Toma
address=0xe68674, size=10, name=Toinette
address=0xe2058c, size=7, name=Tobye
address=0xe2008f, size=6, name=Toby
address=0xe21d05, size=6, name=Tobi
address=0xe20684, size=7, name=Tobey
address=0xe20469, size=6, name=Tobe
address=0xe456b6, size=7, name=Tisha
address=0xe45244, size=6, name=Tish
